Date	Type	Title	Info	Currency	Amount	Fees & Taxes	Net
11 January, 2024	Fee	Credit for processing fee	Order #3160271059	GBP	--	£1.01	£1.01
11 January, 2024	Refund	Refund to buyer for Order #3160271059		GBP	-£20.34	--	-£20.34
11 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
11 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3169774110	GBP	--	£0.05	£0.05
11 January, 2024	VAT	VAT: transaction credit	transaction credit: 3917763106	GBP	--	£0.15	£0.15
11 January, 2024	Fee	Credit for transaction fee on Custom Name Night Light,Personalized Cou...	Order #3169774110	GBP	--	£0.75	£0.75
11 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
11 January, 2024	Fee	Credit for transaction fee on shipping	Order #3169774110	GBP	--	£0.35	£0.35
11 January, 2024	VAT	VAT: Processing Fee	order: 3169774110	GBP	--	£0.18	£0.18
11 January, 2024	Fee	Credit for processing fee	Order #3169774110	GBP	--	£0.88	£0.88
11 January, 2024	Refund	Refund to buyer for Order #3169774110		GBP	-£16.90	--	-£16.90
11 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
11 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3159891559	GBP	--	£0.06	£0.06
11 January, 2024	VAT	VAT: transaction credit	transaction credit: 3915296008	GBP	--	£0.18	£0.18
11 January, 2024	Fee	Credit for transaction fee on Personalised Name Blanket for Baby/Kids/...	Order #3159891559	GBP	--	£0.90	£0.90
11 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
11 January, 2024	Fee	Credit for transaction fee on shipping	Order #3159891559	GBP	--	£0.35	£0.35
11 January, 2024	VAT	VAT: Processing Fee	order: 3159891559	GBP	--	£0.19	£0.19
11 January, 2024	Fee	Credit for processing fee	Order #3159891559	GBP	--	£0.97	£0.97
11 January, 2024	Refund	Refund to buyer for Order #3159891559		GBP	-£19.20	--	-£19.20
11 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
11 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3125086182	GBP	--	£0.03	£0.03
11 January, 2024	VAT	VAT: transaction credit	transaction credit: 3861527550	GBP	--	£0.08	£0.08
11 January, 2024	Fee	Credit for transaction fee on Personalised Baby Toy Ring,Custom Name R...	Order #3125086182	GBP	--	£0.38	£0.38
11 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.05	£0.05
11 January, 2024	Fee	Credit for transaction fee on shipping	Order #3125086182	GBP	--	£0.26	£0.26
11 January, 2024	VAT	VAT: Processing Fee	order: 3125086182	GBP	--	£0.12	£0.12
11 January, 2024	Fee	Credit for processing fee	Order #3125086182	GBP	--	£0.59	£0.59
11 January, 2024	Refund	Refund to buyer for Order #3125086182		GBP	-£9.79	--	-£9.79
10 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
10 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3116975855	GBP	--	£0.06	£0.06
10 January, 2024	VAT	VAT: transaction credit	transaction credit: 3862534751	GBP	--	£0.13	£0.13
10 January, 2024	Fee	Credit for transaction fee on Personalised Name Night Light,Bear Baby ...	Order #3116975855	GBP	--	£0.65	£0.65
10 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.13	£0.13
10 January, 2024	Fee	Credit for transaction fee on shipping	Order #3116975855	GBP	--	£0.64	£0.64
10 January, 2024	VAT	VAT: Processing Fee	order: 3116975855	GBP	--	£0.23	£0.23
10 January, 2024	Fee	Credit for processing fee	Order #3116975855	GBP	--	£1.17	£1.17
10 January, 2024	Tax	Refund to buyer for sales tax	Order #3116975855	GBP	--	£4.39	£4.39
10 January, 2024	Refund	Refund to buyer for Order #3116975855		GBP	-£24.34	--	-£24.34
10 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
10 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3156726653	GBP	--	£0.06	£0.06
10 January, 2024	VAT	VAT: Offsite Ads fee credit	order: 3156726653	GBP	--	£0.45	£0.45
10 January, 2024	Marketing	Credit for Offsite Ads fee	Order #3156726653	GBP	--	£2.25	£2.25
10 January, 2024	VAT	VAT: transaction credit	transaction credit: 3911023164	GBP	--	£0.13	£0.13
10 January, 2024	Fee	Credit for transaction fee on Personalised Night Light for Kids,Custom...	Order #3156726653	GBP	--	£0.67	£0.67
10 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.11	£0.11
10 January, 2024	Fee	Credit for transaction fee on shipping	Order #3156726653	GBP	--	£0.55	£0.55
10 January, 2024	VAT	VAT: Processing Fee	order: 3156726653	GBP	--	£0.20	£0.20
10 January, 2024	Fee	Credit for processing fee	Order #3156726653	GBP	--	£1.01	£1.01
10 January, 2024	Tax	Refund to buyer for sales tax	Order #3156726653	GBP	--	£1.54	£1.54
10 January, 2024	Refund	Refund to buyer for Order #3156726653		GBP	-£20.29	--	-£20.29
10 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
10 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3159572107	GBP	--	£0.05	£0.05
10 January, 2024	VAT	VAT: transaction credit	transaction credit: 3914867882	GBP	--	£0.14	£0.14
10 January, 2024	Fee	Credit for transaction fee on Custom Moon and Star Night Light,Persona...	Order #3159572107	GBP	--	£0.72	£0.72
10 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
10 January, 2024	Fee	Credit for transaction fee on shipping	Order #3159572107	GBP	--	£0.35	£0.35
10 January, 2024	VAT	VAT: Processing Fee	order: 3159572107	GBP	--	£0.17	£0.17
10 January, 2024	Fee	Credit for processing fee	Order #3159572107	GBP	--	£0.86	£0.86
10 January, 2024	Refund	Refund to buyer for Order #3159572107		GBP	-£16.54	--	-£16.54
09 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.02	£0.02
09 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3116947433	GBP	--	£0.09	£0.09
09 January, 2024	VAT	VAT: transaction credit	transaction credit: 3862070540	GBP	--	£0.31	£0.31
09 January, 2024	Fee	Credit for transaction fee on Personalised Pet Photo Blanket,Custom Do...	Order #3116947433	GBP	--	£1.54	£1.54
09 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
09 January, 2024	Fee	Credit for transaction fee on shipping	Order #3116947433	GBP	--	£0.35	£0.35
09 January, 2024	VAT	VAT: Processing Fee	order: 3116947433	GBP	--	£0.27	£0.27
09 January, 2024	Fee	Credit for processing fee	Order #3116947433	GBP	--	£1.36	£1.36
09 January, 2024	Refund	Refund to buyer for Order #3116947433		GBP	-£29.10	--	-£29.10
07 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.04	£0.04
07 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3160330405	GBP	--	£0.18	£0.18
07 January, 2024	VAT	VAT: transaction credit	transaction credit: 3915906884	GBP	--	£0.35	£0.35
07 January, 2024	Fee	Credit for transaction fee on Personalised Photo Collage LED Night Lig...	Order #3160330405	GBP	--	£1.75	£1.75
07 January, 2024	VAT	VAT: transaction credit	transaction credit: 3916606363	GBP	--	£0.18	£0.18
07 January, 2024	Fee	Credit for transaction fee on Personalised Photo Collage LED Night Lig...	Order #3160330405	GBP	--	£0.88	£0.88
07 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.20	£0.20
07 January, 2024	Fee	Credit for transaction fee on shipping	Order #3160330405	GBP	--	£1.00	£1.00
07 January, 2024	VAT	VAT: Processing Fee	order: 3160330405	GBP	--	£0.49	£0.49
07 January, 2024	Fee	Credit for processing fee	Order #3160330405	GBP	--	£2.43	£2.43
07 January, 2024	Refund	Refund to buyer for Order #3160330405		GBP	-£55.84	--	-£55.84
07 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
07 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3118991189	GBP	--	£0.06	£0.06
07 January, 2024	VAT	VAT: transaction credit	transaction credit: 3864580094	GBP	--	£0.23	£0.23
07 January, 2024	Fee	Credit for transaction fee on Custom Photo Night Light,Personalised Na...	Order #3118991189	GBP	--	£1.14	£1.14
07 January, 2024	VAT	VAT: Processing Fee	order: 3118991189	GBP	--	£0.18	£0.18
07 January, 2024	Fee	Credit for processing fee	Order #3118991189	GBP	--	£0.90	£0.90
07 January, 2024	Refund	Refund to buyer for Order #3118991189		GBP	-£17.59	--	-£17.59
07 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
07 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3156047559	GBP	--	£0.06	£0.06
07 January, 2024	VAT	VAT: transaction credit	transaction credit: 3910041366	GBP	--	£0.24	£0.24
07 January, 2024	Fee	Credit for transaction fee on Custom Photo Collage LED Night Light,Per...	Order #3156047559	GBP	--	£1.18	£1.18
07 January, 2024	VAT	VAT: Processing Fee	order: 3156047559	GBP	--	£0.19	£0.19
07 January, 2024	Fee	Credit for processing fee	Order #3156047559	GBP	--	£0.93	£0.93
07 January, 2024	Refund	Refund to buyer for Order #3156047559		GBP	-£18.18	--	-£18.18
07 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.02	£0.02
07 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3159932803	GBP	--	£0.09	£0.09
07 January, 2024	VAT	VAT: transaction credit	transaction credit: 3915352120	GBP	--	£0.28	£0.28
07 January, 2024	Fee	Credit for transaction fee on Personalised Table Numbers,Wedding Table...	Order #3159932803	GBP	--	£1.38	£1.38
07 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
07 January, 2024	Fee	Credit for transaction fee on shipping	Order #3159932803	GBP	--	£0.35	£0.35
07 January, 2024	VAT	VAT: Processing Fee	order: 3159932803	GBP	--	£0.25	£0.25
07 January, 2024	Fee	Credit for processing fee	Order #3159932803	GBP	--	£1.26	£1.26
07 January, 2024	Refund	Refund to buyer for Order #3159932803		GBP	-£26.62	--	-£26.62
06 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.02	£0.02
06 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3112576589	GBP	--	£0.08	£0.08
06 January, 2024	VAT	VAT: transaction credit	transaction credit: 3857041245	GBP	--	£0.26	£0.26
06 January, 2024	Fee	Credit for transaction fee on Personalized Name Blanket for Baby/Kids/...	Order #3112576589	GBP	--	£1.28	£1.28
06 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.06	£0.06
06 January, 2024	Fee	Credit for transaction fee on shipping	Order #3112576589	GBP	--	£0.29	£0.29
06 January, 2024	VAT	VAT: Processing Fee	order: 3112576589	GBP	--	£0.23	£0.23
06 January, 2024	Fee	Credit for processing fee	Order #3112576589	GBP	--	£1.17	£1.17
06 January, 2024	Refund	Refund to buyer for Order #3112576589		GBP	-£24.20	--	-£24.20
06 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.02	£0.02
06 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3089796255	GBP	--	£0.08	£0.08
06 January, 2024	VAT	VAT: transaction credit	transaction credit: 3827675063	GBP	--	£0.20	£0.20
06 January, 2024	Fee	Credit for transaction fee on Kids Wooden Letter Piggy Bank,Custom ini...	Order #3089796255	GBP	--	£1.00	£1.00
06 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.12	£0.12
06 January, 2024	Fee	Credit for transaction fee on shipping	Order #3089796255	GBP	--	£0.58	£0.58
06 January, 2024	VAT	VAT: Processing Fee	order: 3089796255	GBP	--	£0.28	£0.28
06 January, 2024	Fee	Credit for processing fee	Order #3089796255	GBP	--	£1.39	£1.39
06 January, 2024	Tax	Refund to buyer for sales tax	Order #3089796255	GBP	--	£5.37	£5.37
06 January, 2024	Refund	Refund to buyer for Order #3089796255		GBP	-£29.76	--	-£29.76
05 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
05 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3158156347	GBP	--	£0.06	£0.06
05 January, 2024	VAT	VAT: transaction credit	transaction credit: 3912961852	GBP	--	£0.16	£0.16
05 January, 2024	Fee	Credit for transaction fee on Personalised Name Night Light for Baby,A...	Order #3158156347	GBP	--	£0.78	£0.78
05 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.07	£0.07
05 January, 2024	Fee	Credit for transaction fee on shipping	Order #3158156347	GBP	--	£0.35	£0.35
05 January, 2024	VAT	VAT: Processing Fee	order: 3158156347	GBP	--	£0.18	£0.18
05 January, 2024	Fee	Credit for processing fee	Order #3158156347	GBP	--	£0.89	£0.89
05 January, 2024	Refund	Refund to buyer for Order #3158156347		GBP	-£17.37	--	-£17.37
05 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
05 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3166634970	GBP	--	£0.06	£0.06
05 January, 2024	VAT	VAT: transaction credit	transaction credit: 3914257137	GBP	--	£0.19	£0.19
05 January, 2024	Fee	Credit for transaction fee on Personalised Night Light for Baby,Animal...	Order #3166634970	GBP	--	£0.97	£0.97
05 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.05	£0.05
05 January, 2024	Fee	Credit for transaction fee on shipping	Order #3166634970	GBP	--	£0.26	£0.26
05 January, 2024	VAT	VAT: Processing Fee	order: 3166634970	GBP	--	£0.19	£0.19
05 January, 2024	Fee	Credit for processing fee	Order #3166634970	GBP	--	£0.96	£0.96
05 January, 2024	Refund	Refund to buyer for Order #3166634970		GBP	-£18.94	--	-£18.94
05 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.01	£0.01
05 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3154805167	GBP	--	£0.03	£0.03
05 January, 2024	VAT	VAT: transaction credit	transaction credit: 3909097067	GBP	--	£0.08	£0.08
05 January, 2024	Fee	Credit for transaction fee on Custom Birth Flower Bookmark,Personalise...	Order #3154805167	GBP	--	£0.38	£0.38
05 January, 2024	VAT	VAT: shipping transaction credit		GBP	--	£0.05	£0.05
05 January, 2024	Fee	Credit for transaction fee on shipping	Order #3154805167	GBP	--	£0.26	£0.26
05 January, 2024	VAT	VAT: Processing Fee	order: 3154805167	GBP	--	£0.12	£0.12
05 January, 2024	Fee	Credit for processing fee	Order #3154805167	GBP	--	£0.59	£0.59
05 January, 2024	Refund	Refund to buyer for Order #3154805167		GBP	-£9.85	--	-£9.85
05 January, 2024	VAT	VAT: Credit for Regulatory Operating fee		GBP	--	£0.05	£0.05
05 January, 2024	Fee	Credit for Regulatory Operating fee	Order #3137415863	GBP	--	£0.24	£0.24
05 January, 2024	VAT	VAT: transaction credit	transaction credit: 3886851618	GBP	--	£0.24	£0.24
05 January, 2024	Fee	Credit for transaction fee on Personalised Name Blanket for Kids,Custo...	Order #3137415863	GBP	--	£1.22	£1.22
05 January, 2024	VAT	VAT: transaction credit	transaction credit: 3887600037	GBP	--	£0.27	£0.27
